Name:: Spectrum 8568;Timestamp:: 2025-Jul-02 16:11:23;Device:: Ossila Spectrometer (COM5);Colour:: (192: 29: 50);Integration Time (ms):: 150.0;Accumulation Number:: 1;Averaging Number:: 1;Delay Time:: 0;Trigger Mode:: Internal;Measurement Type:: Intensity;Comments:: 
Wavelength (nm),Intensity,Smoothed,Background,Reference
342.49,1615.0,0.0,0.0,0.0
343.02,1556.0,0.0,0.0,0.0
343.55,1551.0,0.0,0.0,0.0
344.07,1570.0,0.0,0.0,0.0
344.6,1575.0,0.0,0.0,0.0
345.13,1592.0,0.0,0.0,0.0
345.66,1535.0,0.0,0.0,0.0
346.19,1601.0,0.0,0.0,0.0
346.71,1610.0,0.0,0.0,0.0
347.24,1580.0,0.0,0.0,0.0
347.77,1557.0,0.0,0.0,0.0
348.3,1562.0,0.0,0.0,0.0
348.83,1554.0,0.0,0.0,0.0
349.35,1559.0,0.0,0.0,0.0
349.88,1594.0,0.0,0.0,0.0
350.41,1584.0,0.0,0.0,0.0
350.94,1517.0,0.0,0.0,0.0
351.46,1565.0,0.0,0.0,0.0
351.99,1522.0,0.0,0.0,0.0
352.52,1526.0,0.0,0.0,0.0
353.05,1531.0,0.0,0.0,0.0
353.57,1580.0,0.0,0.0,0.0
354.1,1533.0,0.0,0.0,0.0
354.63,1545.0,0.0,0.0,0.0
355.16,1520.0,0.0,0.0,0.0
355.68,1525.0,0.0,0.0,0.0
356.21,1522.0,0.0,0.0,0.0
356.74,1550.0,0.0,0.0,0.0
357.26,1602.0,0.0,0.0,0.0
357.79,1548.0,0.0,0.0,0.0
358.32,1536.0,0.0,0.0,0.0
358.84,1590.0,0.0,0.0,0.0
359.37,1600.0,0.0,0.0,0.0
359.9,1585.0,0.0,0.0,0.0
360.42,1569.0,0.0,0.0,0.0
360.95,1531.0,0.0,0.0,0.0
361.48,1538.0,0.0,0.0,0.0
362.0,1544.0,0.0,0.0,0.0
362.53,1570.0,0.0,0.0,0.0
363.06,1562.0,0.0,0.0,0.0
363.58,1525.0,0.0,0.0,0.0
364.11,1546.0,0.0,0.0,0.0
364.64,1595.0,0.0,0.0,0.0
365.16,1566.0,0.0,0.0,0.0
365.69,1600.0,0.0,0.0,0.0
366.21,1560.0,0.0,0.0,0.0
366.74,1571.0,0.0,0.0,0.0
367.27,1572.0,0.0,0.0,0.0
367.79,1567.0,0.0,0.0,0.0
368.32,1537.0,0.0,0.0,0.0
368.84,1541.0,0.0,0.0,0.0
369.37,1556.0,0.0,0.0,0.0
369.9,1566.0,0.0,0.0,0.0
370.42,1513.0,0.0,0.0,0.0
370.95,1548.0,0.0,0.0,0.0
371.47,1632.0,0.0,0.0,0.0
372.0,1590.0,0.0,0.0,0.0
372.52,1544.0,0.0,0.0,0.0
373.05,1543.0,0.0,0.0,0.0
373.58,1546.0,0.0,0.0,0.0
374.1,1616.0,0.0,0.0,0.0
374.63,1565.0,0.0,0.0,0.0
375.15,1530.0,0.0,0.0,0.0
375.68,1575.0,0.0,0.0,0.0
376.2,1587.0,0.0,0.0,0.0
376.73,1566.0,0.0,0.0,0.0
377.25,1559.0,0.0,0.0,0.0
377.78,1509.0,0.0,0.0,0.0
378.3,1586.0,0.0,0.0,0.0
378.83,1635.0,0.0,0.0,0.0
379.35,1620.0,0.0,0.0,0.0
379.88,1606.0,0.0,0.0,0.0
380.4,1563.0,0.0,0.0,0.0
380.93,1540.0,0.0,0.0,0.0
381.45,1492.0,0.0,0.0,0.0
381.98,1574.0,0.0,0.0,0.0
382.5,1545.0,0.0,0.0,0.0
383.02,1502.0,0.0,0.0,0.0
383.55,1582.0,0.0,0.0,0.0
384.07,1606.0,0.0,0.0,0.0
384.6,1539.0,0.0,0.0,0.0
385.12,1502.0,0.0,0.0,0.0
385.65,1526.0,0.0,0.0,0.0
386.17,1553.0,0.0,0.0,0.0
386.7,1565.0,0.0,0.0,0.0
387.22,1543.0,0.0,0.0,0.0
387.74,1565.0,0.0,0.0,0.0
388.27,1566.0,0.0,0.0,0.0
388.79,1629.0,0.0,0.0,0.0
389.32,1597.0,0.0,0.0,0.0
389.84,1553.0,0.0,0.0,0.0
390.36,1548.0,0.0,0.0,0.0
390.89,1597.0,0.0,0.0,0.0
391.41,1594.0,0.0,0.0,0.0
391.93,1539.0,0.0,0.0,0.0
392.46,1530.0,0.0,0.0,0.0
392.98,1539.0,0.0,0.0,0.0
393.51,1556.0,0.0,0.0,0.0
394.03,1560.0,0.0,0.0,0.0
394.55,1542.0,0.0,0.0,0.0
