BinCenter (ps);Histo01;Histo02;Histo03;Histo04
1315.5;40;40;9;0
1318.5;32;32;5;0
1321.5;28;28;7;0
1324.5;45;45;2;0
1327.5;23;23;0;0
1330.5;26;26;3;0
1333.5;27;27;4;0
1336.5;34;34;5;0
1339.5;21;21;3;0
1342.5;27;27;0;0
1345.5;21;21;5;0
1348.5;34;34;9;0
1351.5;20;20;7;0
1354.5;31;31;2;0
1357.5;30;30;7;0
1360.5;29;29;6;0
1363.5;21;21;5;0
1366.5;33;33;3;0
1369.5;25;25;5;0
1372.5;31;31;4;0
1375.5;18;18;6;0
1378.5;28;28;4;0
1381.5;36;36;6;0
1384.5;21;21;2;0
1387.5;29;29;6;0
1390.5;21;21;6;0
1393.5;25;25;7;0
1396.5;25;25;2;0
1399.5;28;28;6;0
1402.5;26;26;6;0
1405.5;30;30;5;0
1408.5;25;25;5;0
1411.5;33;33;8;0
1414.5;30;30;2;0
1417.5;27;27;4;0
1420.5;29;29;5;0
1423.5;28;28;2;0
1426.5;31;31;4;0
1429.5;28;28;4;0
1432.5;29;29;5;0
1435.5;30;30;2;0
1438.5;49;49;8;0
1441.5;27;27;9;0
1444.5;28;28;5;0
1447.5;31;31;5;0
1450.5;15;15;4;0
1453.5;34;34;4;0
1456.5;31;31;2;0
1459.5;23;23;1;0
1462.5;28;28;5;0
1465.5;30;30;3;0
1468.5;31;31;5;0
1471.5;29;29;5;0
1474.5;31;31;4;0
1477.5;29;29;3;0
1480.5;25;25;5;0
1483.5;29;29;7;0
1486.5;28;28;4;0
1489.5;27;27;4;0
1492.5;35;35;4;0
1495.5;21;21;4;0
1498.5;31;31;7;0
1501.5;31;31;2;0
1504.5;26;26;3;0
1507.5;31;31;9;0
1510.5;35;35;6;0
1513.5;34;34;7;0
1516.5;25;25;6;0
1519.5;33;33;10;0
1522.5;27;27;5;0
1525.5;33;33;6;0
1528.5;34;34;5;0
1531.5;26;26;1;0
1534.5;27;27;3;0
1537.5;25;25;4;0
1540.5;35;35;6;0
1543.5;22;22;7;0
1546.5;16;16;6;0
1549.5;34;34;4;0
1552.5;31;31;5;0
1555.5;25;25;6;0
1558.5;22;22;5;0
1561.5;27;27;2;0
1564.5;30;30;3;0
1567.5;35;35;2;0
1570.5;23;23;1;0
1573.5;25;25;3;0
1576.5;26;26;2;0
1579.5;27;27;6;0
1582.5;27;27;3;0
1585.5;26;26;7;0
1588.5;26;26;7;0
1591.5;30;30;2;0
1594.5;29;29;8;0
1597.5;32;32;11;0
1600.5;27;27;2;0
1603.5;33;33;5;0
1606.5;29;29;5;0
1609.5;34;34;6;0
1612.5;30;30;6;0
1615.5;21;21;6;0
1618.5;28;28;8;0
1621.5;28;28;3;0
1624.5;35;35;3;0
1627.5;20;20;3;0
1630.5;26;26;1;0
1633.5;18;18;5;0
1636.5;19;19;11;0
1639.5;29;29;1;0
1642.5;27;27;5;0
1645.5;35;35;7;0
1648.5;36;36;1;0
1651.5;22;22;3;0
1654.5;28;28;8;0
1657.5;35;35;4;0
1660.5;22;22;10;0
1663.5;27;27;2;0
1666.5;26;26;6;0
1669.5;31;31;6;0
1672.5;27;27;6;0
1675.5;29;29;4;0
1678.5;24;24;4;0
1681.5;21;21;4;0
1684.5;32;32;7;0
1687.5;28;28;5;0
1690.5;25;25;7;0
1693.5;31;31;4;0
1696.5;21;21;6;0
1699.5;24;24;5;0
1702.5;21;21;5;0
1705.5;36;36;1;0
1708.5;24;24;2;0
1711.5;19;19;6;0
1714.5;26;26;4;0
1717.5;35;35;4;0
1720.5;23;23;5;0
1723.5;29;29;7;0
1726.5;33;33;4;0
1729.5;24;24;4;0
1732.5;24;24;3;0
1735.5;29;29;10;0
1738.5;26;26;3;0
1741.5;25;25;3;0
1744.5;25;25;5;0
1747.5;29;29;5;0
1750.5;25;25;5;0
1753.5;30;30;1;0
1756.5;36;36;6;0
1759.5;16;16;0;0
1762.5;26;26;8;0
1765.5;27;27;4;0
1768.5;25;25;2;0
1771.5;18;18;4;0
1774.5;22;22;5;0
1777.5;29;29;2;0
1780.5;18;18;5;0
1783.5;27;27;2;0
1786.5;21;21;4;0
1789.5;32;32;6;0
1792.5;34;34;3;0
1795.5;28;28;4;0
1798.5;31;31;4;0
1801.5;36;36;1;0
1804.5;27;27;5;0
1807.5;33;33;5;0
1810.5;27;27;6;0
1813.5;28;28;5;0
1816.5;31;31;6;0
1819.5;24;24;3;0
1822.5;27;27;5;0
1825.5;21;21;2;0
1828.5;33;33;4;0
1831.5;33;33;3;0
1834.5;19;19;3;0
1837.5;28;28;7;0
1840.5;24;24;3;0
1843.5;20;20;5;0
1846.5;30;30;3;0
1849.5;25;25;7;0
1852.5;39;39;3;0
1855.5;37;37;6;0
1858.5;20;20;5;0
1861.5;25;25;7;0
1864.5;22;22;8;0
1867.5;31;31;5;0
1870.5;34;34;4;0
1873.5;23;23;2;0
1876.5;29;29;6;0
1879.5;33;33;3;0
1882.5;33;33;6;0
1885.5;26;26;6;0
1888.5;21;21;3;0
1891.5;22;22;2;0
1894.5;30;30;8;0
1897.5;25;25;1;0
