Name:: Spectrum 276;Timestamp:: 2025-Jul-03 18:03:24;Device:: Ossila Spectrometer (COM5);Colour:: (11: 217: 24);Integration Time (ms):: 150.0;Accumulation Number:: 1;Averaging Number:: 1;Delay Time:: 0;Trigger Mode:: Internal;Measurement Type:: Intensity;Comments:: 
Wavelength (nm),Intensity,Smoothed,Background,Reference
348.3,1518.0,0.0,0.0,0.0
348.83,1529.0,0.0,0.0,0.0
349.35,1491.0,0.0,0.0,0.0
349.88,1536.0,0.0,0.0,0.0
350.41,1569.0,0.0,0.0,0.0
350.94,1469.0,0.0,0.0,0.0
351.46,1497.0,0.0,0.0,0.0
351.99,1468.0,0.0,0.0,0.0
352.52,1494.0,0.0,0.0,0.0
353.05,1530.0,0.0,0.0,0.0
353.57,1534.0,0.0,0.0,0.0
354.1,1492.0,0.0,0.0,0.0
354.63,1473.0,0.0,0.0,0.0
355.16,1526.0,0.0,0.0,0.0
355.68,1474.0,0.0,0.0,0.0
356.21,1478.0,0.0,0.0,0.0
356.74,1500.0,0.0,0.0,0.0
357.26,1523.0,0.0,0.0,0.0
357.79,1477.0,0.0,0.0,0.0
358.32,1507.0,0.0,0.0,0.0
358.84,1516.0,0.0,0.0,0.0
359.37,1476.0,0.0,0.0,0.0
359.9,1477.0,0.0,0.0,0.0
360.42,1494.0,0.0,0.0,0.0
360.95,1497.0,0.0,0.0,0.0
361.48,1533.0,0.0,0.0,0.0
362.0,1507.0,0.0,0.0,0.0
362.53,1519.0,0.0,0.0,0.0
363.06,1525.0,0.0,0.0,0.0
363.58,1563.0,0.0,0.0,0.0
364.11,1602.0,0.0,0.0,0.0
364.64,1553.0,0.0,0.0,0.0
365.16,1494.0,0.0,0.0,0.0
365.69,1505.0,0.0,0.0,0.0
366.21,1548.0,0.0,0.0,0.0
366.74,1545.0,0.0,0.0,0.0
367.27,1500.0,0.0,0.0,0.0
367.79,1531.0,0.0,0.0,0.0
368.32,1465.0,0.0,0.0,0.0
368.84,1441.0,0.0,0.0,0.0
369.37,1485.0,0.0,0.0,0.0
369.9,1493.0,0.0,0.0,0.0
370.42,1468.0,0.0,0.0,0.0
370.95,1499.0,0.0,0.0,0.0
371.47,1557.0,0.0,0.0,0.0
372.0,1573.0,0.0,0.0,0.0
372.52,1545.0,0.0,0.0,0.0
373.05,1557.0,0.0,0.0,0.0
373.58,1503.0,0.0,0.0,0.0
374.1,1535.0,0.0,0.0,0.0
374.63,1506.0,0.0,0.0,0.0
375.15,1464.0,0.0,0.0,0.0
375.68,1452.0,0.0,0.0,0.0
376.2,1504.0,0.0,0.0,0.0
376.73,1533.0,0.0,0.0,0.0
377.25,1511.0,0.0,0.0,0.0
377.78,1505.0,0.0,0.0,0.0
378.3,1525.0,0.0,0.0,0.0
378.83,1504.0,0.0,0.0,0.0
379.35,1551.0,0.0,0.0,0.0
379.88,1575.0,0.0,0.0,0.0
380.4,1581.0,0.0,0.0,0.0
380.93,1525.0,0.0,0.0,0.0
381.45,1499.0,0.0,0.0,0.0
381.98,1537.0,0.0,0.0,0.0
382.5,1509.0,0.0,0.0,0.0
383.02,1461.0,0.0,0.0,0.0
383.55,1491.0,0.0,0.0,0.0
384.07,1490.0,0.0,0.0,0.0
384.6,1461.0,0.0,0.0,0.0
385.12,1454.0,0.0,0.0,0.0
385.65,1479.0,0.0,0.0,0.0
386.17,1486.0,0.0,0.0,0.0
386.7,1534.0,0.0,0.0,0.0
387.22,1571.0,0.0,0.0,0.0
387.74,1505.0,0.0,0.0,0.0
388.27,1517.0,0.0,0.0,0.0
388.79,1572.0,0.0,0.0,0.0
389.32,1588.0,0.0,0.0,0.0
389.84,1535.0,0.0,0.0,0.0
390.36,1551.0,0.0,0.0,0.0
390.89,1558.0,0.0,0.0,0.0
391.41,1512.0,0.0,0.0,0.0
391.93,1475.0,0.0,0.0,0.0
392.46,1501.0,0.0,0.0,0.0
392.98,1475.0,0.0,0.0,0.0
393.51,1526.0,0.0,0.0,0.0
394.03,1548.0,0.0,0.0,0.0
394.55,1552.0,0.0,0.0,0.0
395.08,1551.0,0.0,0.0,0.0
395.6,1523.0,0.0,0.0,0.0
396.12,1532.0,0.0,0.0,0.0
396.65,1495.0,0.0,0.0,0.0
397.17,1508.0,0.0,0.0,0.0
397.69,1563.0,0.0,0.0,0.0
398.21,1515.0,0.0,0.0,0.0
398.74,1547.0,0.0,0.0,0.0
399.26,1536.0,0.0,0.0,0.0
399.78,1553.0,0.0,0.0,0.0
400.31,1564.0,0.0,0.0,0.0
400.83,1512.0,0.0,0.0,0.0
401.35,1524.0,0.0,0.0,0.0
401.88,1440.0,0.0,0.0,0.0
402.4,1544.0,0.0,0.0,0.0
402.92,1543.0,0.0,0.0,0.0
403.44,1501.0,0.0,0.0,0.0
403.97,1471.0,0.0,0.0,0.0
404.49,1573.0,0.0,0.0,0.0
405.01,1574.0,0.0,0.0,0.0
405.53,1557.0,0.0,0.0,0.0
406.06,1455.0,0.0,0.0,0.0
406.58,1539.0,0.0,0.0,0.0
407.1,1523.0,0.0,0.0,0.0
407.62,1552.0,0.0,0.0,0.0
408.14,1608.0,0.0,0.0,0.0
408.67,1554.0,0.0,0.0,0.0
409.19,1536.0,0.0,0.0,0.0
409.71,1510.0,0.0,0.0,0.0
410.23,1455.0,0.0,0.0,0.0
410.75,1482.0,0.0,0.0,0.0
411.28,1542.0,0.0,0.0,0.0
411.8,1547.0,0.0,0.0,0.0
412.32,1484.0,0.0,0.0,0.0
412.84,1483.0,0.0,0.0,0.0
413.36,1493.0,0.0,0.0,0.0
413.88,1550.0,0.0,0.0,0.0
414.41,1549.0,0.0,0.0,0.0
414.93,1561.0,0.0,0.0,0.0
415.45,1490.0,0.0,0.0,0.0
415.97,1500.0,0.0,0.0,0.0
416.49,1495.0,0.0,0.0,0.0
417.01,1494.0,0.0,0.0,0.0
417.53,1544.0,0.0,0.0,0.0
418.05,1528.0,0.0,0.0,0.0
418.58,1540.0,0.0,0.0,0.0
419.1,1454.0,0.0,0.0,0.0
419.62,1501.0,0.0,0.0,0.0
420.14,1527.0,0.0,0.0,0.0
420.66,1489.0,0.0,0.0,0.0
421.18,1475.0,0.0,0.0,0.0
421.7,1535.0,0.0,0.0,0.0
422.22,1550.0,0.0,0.0,0.0
422.74,1497.0,0.0,0.0,0.0
423.26,1524.0,0.0,0.0,0.0
423.78,1571.0,0.0,0.0,0.0
424.3,1567.0,0.0,0.0,0.0
424.83,1525.0,0.0,0.0,0.0
425.35,1501.0,0.0,0.0,0.0
425.87,1515.0,0.0,0.0,0.0
426.39,1467.0,0.0,0.0,0.0
426.91,1503.0,0.0,0.0,0.0
427.43,1528.0,0.0,0.0,0.0
427.95,1541.0,0.0,0.0,0.0
428.47,1546.0,0.0,0.0,0.0
428.99,1478.0,0.0,0.0,0.0
429.51,1523.0,0.0,0.0,0.0
430.03,1532.0,0.0,0.0,0.0
430.55,1583.0,0.0,0.0,0.0
431.07,1453.0,0.0,0.0,0.0
431.59,1472.0,0.0,0.0,0.0
432.11,1494.0,0.0,0.0,0.0
432.63,1491.0,0.0,0.0,0.0
433.15,1483.0,0.0,0.0,0.0
433.67,1506.0,0.0,0.0,0.0
434.19,1533.0,0.0,0.0,0.0
434.71,1565.0,0.0,0.0,0.0
435.22,1493.0,0.0,0.0,0.0
435.74,1564.0,0.0,0.0,0.0
436.26,1532.0,0.0,0.0,0.0
436.78,1492.0,0.0,0.0,0.0
437.3,1563.0,0.0,0.0,0.0
437.82,1553.0,0.0,0.0,0.0
438.34,1522.0,0.0,0.0,0.0
438.86,1498.0,0.0,0.0,0.0
439.38,1475.0,0.0,0.0,0.0
439.9,1542.0,0.0,0.0,0.0
440.42,1561.0,0.0,0.0,0.0
440.94,1537.0,0.0,0.0,0.0
441.45,1502.0,0.0,0.0,0.0
441.97,1532.0,0.0,0.0,0.0
442.49,1524.0,0.0,0.0,0.0
443.01,1447.0,0.0,0.0,0.0
443.53,1454.0,0.0,0.0,0.0
444.05,1519.0,0.0,0.0,0.0
444.57,1544.0,0.0,0.0,0.0
445.09,1477.0,0.0,0.0,0.0
445.6,1478.0,0.0,0.0,0.0
446.12,1511.0,0.0,0.0,0.0
446.64,1519.0,0.0,0.0,0.0
447.16,1539.0,0.0,0.0,0.0
447.68,1539.0,0.0,0.0,0.0
448.2,1532.0,0.0,0.0,0.0
448.71,1540.0,0.0,0.0,0.0
449.23,1560.0,0.0,0.0,0.0
449.75,1510.0,0.0,0.0,0.0
450.27,1513.0,0.0,0.0,0.0
450.79,1519.0,0.0,0.0,0.0
451.3,1548.0,0.0,0.0,0.0
451.82,1563.0,0.0,0.0,0.0
452.34,1478.0,0.0,0.0,0.0
452.86,1514.0,0.0,0.0,0.0
453.37,1552.0,0.0,0.0,0.0
453.89,1567.0,0.0,0.0,0.0
454.41,1563.0,0.0,0.0,0.0
454.93,1495.0,0.0,0.0,0.0
455.44,1514.0,0.0,0.0,0.0
455.96,1537.0,0.0,0.0,0.0
