BinCenter (ps);Histo01;Histo02;Histo03;Histo04
4545;13;30;0;0
4551;11;8;0;0
4557;10;15;0;0
4563;10;18;0;0
4569;14;27;0;0
4575;7;16;1;0
4581;11;22;1;0
4587;9;21;0;0
4593;10;19;0;0
4599;12;11;0;0
4605;9;20;0;0
4611;7;19;1;0
4617;9;18;1;0
4623;5;20;0;0
4629;13;23;0;1
4635;19;19;0;1
4641;11;16;1;1
4647;12;24;1;1
4653;6;15;1;1
4659;11;18;0;0
4665;14;14;0;0
4671;9;22;0;0
4677;10;27;0;0
4683;14;17;0;0
4689;9;17;0;0
4695;11;14;0;0
4701;14;19;0;0
4707;7;21;0;2
4713;9;21;0;1
4719;15;18;0;0
4725;7;16;0;0
4731;13;19;0;0
4737;7;16;0;0
4743;7;29;1;1
4749;6;12;0;0
4755;6;17;0;0
4761;8;14;0;0
4767;9;17;1;0
4773;4;18;0;0
4779;7;20;0;0
4785;10;18;1;0
4791;9;16;0;2
4797;12;14;0;0
4803;6;21;0;0
4809;9;17;0;0
4815;10;22;0;1
4821;10;11;0;1
4827;6;20;0;0
4833;6;10;0;0
4839;6;25;0;0
4845;13;24;1;0
4851;13;12;0;0
4857;7;15;0;0
4863;11;13;0;0
4869;10;26;1;1
4875;9;21;0;0
4881;9;15;1;0
4887;11;18;1;0
4893;10;18;0;0
4899;7;14;0;1
4905;12;28;0;0
4911;7;18;0;0
4917;8;18;0;0
4923;11;18;1;0
4929;8;18;1;0
4935;6;21;0;0
4941;10;17;1;1
4947;13;16;0;1
4953;6;13;0;1
4959;5;21;1;0
4965;10;14;0;0
4971;9;13;0;0
4977;8;25;0;0
4983;14;16;0;0
4989;11;15;0;0
4995;8;15;1;0
5001;7;12;0;0
5007;7;28;1;1
5013;7;21;0;1
5019;13;24;0;0
5025;7;19;0;0
5031;7;26;0;0
5037;8;28;0;0
5043;11;24;0;2
5049;7;14;0;1
5055;7;19;0;1
5061;12;21;0;0
5067;11;26;1;0
5073;13;12;0;0
5079;13;21;0;1
5085;9;14;0;0
5091;11;11;0;0
5097;5;25;0;0
5103;9;15;0;1
5109;12;25;0;0
5115;6;20;0;0
5121;8;14;1;0
5127;10;17;0;0
5133;5;23;0;0
5139;12;16;1;0
5145;7;17;0;0
5151;7;21;0;0
5157;7;14;2;0
5163;8;15;1;1
5169;10;15;0;0
5175;10;16;0;0
5181;10;24;0;0
5187;13;16;0;0
5193;13;20;0;0
5199;16;20;1;0
5205;11;15;0;0
5211;7;18;0;0
5217;4;19;1;1
5223;15;15;0;0
5229;5;19;0;0
5235;8;25;1;0
5241;8;19;0;1
5247;8;11;1;0
5253;13;29;0;0
5259;5;20;1;0
5265;14;19;1;0
5271;16;26;0;1
5277;11;12;0;0
5283;11;18;0;1
5289;11;25;1;0
5295;17;20;0;0
5301;16;12;0;0
5307;9;15;0;0
5313;10;7;0;0
5319;5;15;0;1
5325;7;27;0;0
5331;12;12;0;0
5337;14;18;0;1
5343;7;10;0;0
5349;7;23;0;0
5355;8;17;0;0
5361;10;17;0;0
5367;7;16;1;0
5373;8;20;1;0
5379;8;17;1;0
5385;11;20;0;0
5391;11;12;2;0
5397;11;27;0;0
5403;15;16;0;0
5409;16;19;0;0
5415;11;15;1;0
5421;9;14;0;0
5427;11;19;1;0
5433;11;20;0;1
5439;8;21;0;0
5445;10;25;0;0
5451;5;23;1;0
5457;10;17;0;0
5463;12;27;1;0
5469;11;13;0;0
5475;9;21;0;1
5481;10;24;1;1
5487;11;21;0;0
5493;10;15;0;0
5499;6;25;1;0
5505;7;10;0;1
5511;9;20;0;0
5517;8;24;0;0
5523;11;18;0;0
5529;6;25;0;0
5535;11;14;0;0
5541;14;20;0;0
5547;9;26;1;0
5553;11;14;1;0
5559;7;26;0;1
5565;12;19;0;1
5571;11;20;0;0
5577;6;21;1;0
5583;10;18;1;0
5589;10;14;0;1
5595;9;19;0;1
5601;5;20;0;0
5607;10;24;1;0
5613;7;18;0;0
5619;13;22;0;0
5625;13;20;0;0
5631;9;12;0;0
5637;7;14;0;0
5643;10;20;0;0
5649;7;18;0;0
5655;9;21;0;0
5661;5;15;1;0
5667;8;16;0;1
5673;8;21;1;0
5679;11;22;1;0
5685;5;18;1;0
5691;14;17;0;1
5697;7;19;1;1
5703;8;16;0;2
5709;14;17;0;0
5715;7;22;0;0
5721;6;12;0;0
5727;11;20;0;0
5733;9;14;1;0
5739;6;18;0;0
5745;13;15;0;1
5751;14;15;1;0
5757;12;12;0;0
5763;13;16;0;0
5769;5;27;1;0
5775;3;27;0;0
5781;10;21;0;0
5787;6;20;0;1
5793;5;20;0;0
5799;9;19;0;0
5805;6;23;0;1
5811;7;17;0;0
5817;6;26;0;0
5823;9;21;1;1
5829;6;21;0;0
5835;7;16;1;0
5841;7;14;0;0
5847;7;21;0;1
5853;12;16;0;0
5859;8;15;0;0
5865;9;22;0;1
5871;11;22;0;1
5877;9;21;1;0
5883;12;18;0;0
5889;11;14;0;0
5895;13;14;0;0
5901;5;23;0;0
5907;12;12;0;0
5913;8;20;0;0
5919;14;17;0;0
5925;9;12;0;0
5931;11;15;0;0
5937;9;25;0;0
5943;9;18;0;0
5949;12;19;0;0
5955;7;20;0;0
5961;5;20;1;0
5967;9;14;0;0
